"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"4M6GC5OX","2UQ7Z","2020/05/21","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","9375"
"8JF6Y7LL","2UQ7Z","2020/05/21","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","18600"
"8663LN5H","2UQ7Z","2020/05/21","TPF7 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","14250"
"1MCBRGTA","2UQ7Z","2020/05/21","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","4984"
"82GKEFFD","WP1A4","2020/05/21","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","1095"
"8SYR4JCL","WP1A4","2020/05/21","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","13","8506"
"5646YP9O","WP1A4","2020/05/21","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","6","7051"
"3M5EI9WZ","WP1A4","2020/05/21","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","3486"
"35XRO5XX","WP1A4","2020/05/21","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","25","34147"
"7VDP34SQ","WP1A4","2020/05/21","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","23","18766"
"26NSGSBS","WP1A4","2020/05/21","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","9","9316"
"3VJMYWHW","WP1A4","2020/05/21","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","13","13090"
"3L833WJQ","WP1A4","2020/05/21","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","9","7765"
"3CQ9T1GZ","WP1A4","2020/05/21","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","3486"
"2E2TV8QA","WP1A4","2020/05/21","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","4592"
"7FCIP44O","WP1A4","2020/05/21","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","3","2182"
"6GGSOKYS","WP1A4","2020/05/21","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","7","8025"
"692RA5JK","WP1A4","2020/05/21","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","13","9628"
"75RXJRDO","WP1A4","2020/05/21","TPFB - 伊勢原市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","17","66078"
"2X46IN2E","WP1A4","2020/05/20","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","15","16154"
"2G5JXUVW","WP1A4","2020/05/20","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","2","9184"
"1R69LCAS","WP1A4","2020/05/20","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","9","9346"
"839ZBHHU","2UQ7Z","2020/05/20","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","22","123139"
"3RL46IIR","2UQ7Z","2020/05/20","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","11","54824"
"35U7J2YW","2UQ7Z","2020/05/20","TPF6 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","7","84180"
"7Y8B411V","2UQ7Z","2020/05/20","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","16","70750"
"7EC62OCP","2UQ7Z","2020/05/20","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","6","29904"
"5SZSMMWN","2UQ7Z","2020/05/20","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","4","66900"
"3FEROEPW","2UQ7Z","2020/05/20","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/20","2020/05/25","20","94168"
"7N8MIHEU","WP1A4","2020/05/19","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/19","2020/05/22","8","13019"
"2SW3UE2C","WP1A4","2020/05/19","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/19","2020/05/22","5","11746"
